id	father	mother	sex	population
117	9	16	M	F1
118	9	16	F	F1
119	9	16	M	F1
120	9	16	F	F1
121	13	2	M	F1
122	13	2	F	F1
123	13	2	M	F1
124	13	2	F	F1
125	13	2	M	F1
126	13	2	F	F1
127	13	2	M	F1
128	13	2	F	F1
129	13	2	M	F1
130	13	2	F	F1
131	15	10	M	F1
132	15	10	F	F1
133	15	10	M	F1
134	15	10	F	F1
135	15	10	M	F1
136	15	10	F	F1
137	15	10	M	F1
138	15	10	F	F1
139	15	10	M	F1
140	15	10	F	F1
141	17	8	M	F1
142	17	8	F	F1
143	17	8	M	F1
144	17	8	F	F1
145	17	8	M	F1
146	17	8	F	F1
147	17	8	M	F1
148	17	8	F	F1
149	17	8	M	F1
150	17	8	F	F1
151	19	4	M	F1
152	19	4	F	F1
153	19	4	M	F1
154	19	4	F	F1
155	19	4	M	F1
156	19	4	F	F1
157	19	4	M	F1
158	19	4	F	F1
159	19	4	M	F1
160	19	4	F	F1
161	11	6	M	F1
162	11	6	F	F1
163	11	6	M	F1
164	11	6	F	F1
165	11	6	M	F1
166	11	6	F	F1
167	11	6	M	F1
168	11	6	F	F1
169	11	6	M	F1
170	11	6	F	F1
171	15	2	M	F1
172	15	2	F	F1
173	15	2	M	F1
174	15	2	F	F1
175	15	2	M	F1
176	15	2	F	F1
177	15	2	M	F1
178	15	2	F	F1
179	15	2	M	F1
180	15	2	F	F1
181	17	10	M	F1
182	17	10	F	F1
183	17	10	M	F1
184	17	10	F	F1
185	17	10	M	F1
186	17	10	F	F1
187	17	10	M	F1
188	17	10	F	F1
189	17	10	M	F1
190	17	10	F	F1
191	19	8	M	F1
192	19	8	F	F1
193	19	8	M	F1
194	19	8	F	F1
195	19	8	M	F1
196	19	8	F	F1
197	19	8	M	F1
198	19	8	F	F1
199	19	8	M	F1
200	19	8	F	F1
201	11	4	M	F1
202	11	4	F	F1
203	11	4	M	F1
204	11	4	F	F1
205	11	4	M	F1
206	11	4	F	F1
207	11	4	M	F1
208	11	4	F	F1
209	11	4	M	F1
210	11	4	F	F1
211	13	6	M	F1
212	13	6	F	F1
213	13	6	M	F1
214	13	6	F	F1
215	13	6	M	F1
216	13	6	F	F1
217	13	6	M	F1
218	13	6	F	F1
219	13	6	M	F1
220	13	6	F	F1
221	135	112	M	F2
222	135	112	F	F2
223	135	112	M	F2
224	135	112	F	F2
225	135	112	M	F2
226	135	112	F	F2
227	135	112	M	F2
228	135	112	F	F2
229	135	112	M	F2
230	135	112	F	F2
231	95	160	M	F2
232	95	160	F	F2
233	95	160	M	F2
234	95	160	F	F2
235	95	160	M	F2
236	95	160	F	F2
237	95	160	M	F2
238	95	160	F	F2
239	95	160	M	F2
240	95	160	F	F2
241	65	124	M	F2
242	65	124	F	F2
243	65	124	M	F2
244	65	124	F	F2
245	65	124	M	F2
246	65	124	F	F2
247	65	124	M	F2
248	65	124	F	F2
249	65	124	M	F2
250	65	124	F	F2
251	75	158	M	F2
252	75	158	F	F2
253	75	158	M	F2
254	75	158	F	F2
255	75	158	M	F2
256	75	158	F	F2
257	75	158	M	F2
258	75	158	F	F2
259	75	158	M	F2
260	75	158	F	F2
261	175	144	M	F2
262	175	144	F	F2
263	175	144	M	F2
264	175	144	F	F2
265	175	144	M	F2
266	175	144	F	F2
267	175	144	M	F2
268	175	144	F	F2
269	175	144	M	F2
270	175	144	F	F2
271	85	80	M	F2
272	85	80	F	F2
273	85	80	M	F2
274	85	80	F	F2
275	85	80	M	F2
276	85	80	F	F2
277	85	80	M	F2
278	85	80	F	F2
279	85	80	M	F2
280	85	80	F	F2
281	123	188	M	F2
282	123	188	F	F2
283	123	188	M	F2
284	123	188	F	F2
285	123	188	M	F2
286	123	188	F	F2
287	123	188	M	F2
288	123	188	F	F2
289	123	188	M	F2
290	123	188	F	F2
291	217	106	M	F2
292	217	106	F	F2
293	217	106	M	F2
294	217	106	F	F2
295	217	106	M	F2
296	217	106	F	F2
297	217	106	M	F2
298	217	106	F	F2
299	217	106	M	F2
300	217	106	F	F2
301	151	88	M	F2
302	151	88	F	F2
303	151	88	M	F2
304	151	88	F	F2
305	151	88	M	F2
306	151	88	F	F2
307	151	88	M	F2
308	151	88	F	F2
309	151	88	M	F2
310	151	88	F	F2
311	177	200	M	F2
312	177	200	F	F2
313	177	200	M	F2
314	177	200	F	F2
315	177	200	M	F2
316	177	200	F	F2
317	177	200	M	F2
318	177	200	F	F2
319	177	200	M	F2
320	177	200	F	F2
321	31	30	M	F2
322	31	30	F	F2
323	31	30	M	F2
324	31	30	F	F2
325	31	30	M	F2
326	31	30	F	F2
327	31	30	M	F2
328	31	30	F	F2
329	31	30	M	F2
330	31	30	F	F2
331	39	176	M	F2
332	39	176	F	F2
333	39	176	M	F2
334	39	176	F	F2
335	39	176	M	F2
336	39	176	F	F2
337	39	176	M	F2
338	39	176	F	F2
339	39	176	M	F2
340	39	176	F	F2
341	73	190	M	F2
342	73	190	F	F2
343	73	190	M	F2
344	73	190	F	F2
345	73	190	M	F2
346	73	190	F	F2
347	73	190	M	F2
348	73	190	F	F2
349	73	190	M	F2
350	73	190	F	F2
351	33	132	M	F2
352	33	132	F	F2
353	33	132	M	F2
354	33	132	F	F2
355	33	132	M	F2
356	33	132	F	F2
357	33	132	M	F2
358	33	132	F	F2
359	33	132	M	F2
360	33	132	F	F2
361	197	48	M	F2
362	197	48	F	F2
363	197	48	M	F2
364	197	48	F	F2
365	197	48	M	F2
366	197	48	F	F2
367	197	48	M	F2
368	197	48	F	F2
369	197	48	M	F2
370	197	48	F	F2
371	89	110	M	F2
372	89	110	F	F2
373	89	110	M	F2
374	89	110	F	F2
375	89	110	M	F2
376	89	110	F	F2
377	89	110	M	F2
378	89	110	F	F2
379	89	110	M	F2
380	89	110	F	F2
381	87	114	M	F2
382	87	114	F	F2
383	87	114	M	F2
384	87	114	F	F2
385	87	114	M	F2
386	87	114	F	F2
387	87	114	M	F2
388	87	114	F	F2
389	87	114	M	F2
390	87	114	F	F2
391	163	62	M	F2
392	163	62	F	F2
393	163	62	M	F2
394	163	62	F	F2
395	163	62	M	F2
396	163	62	F	F2
397	163	62	M	F2
398	163	62	F	F2
399	163	62	M	F2
400	163	62	F	F2
401	149	206	M	F2
402	149	206	F	F2
403	149	206	M	F2
404	149	206	F	F2
405	149	206	M	F2
406	149	206	F	F2
407	149	206	M	F2
408	149	206	F	F2
409	149	206	M	F2
410	149	206	F	F2
411	141	74	M	F2
412	141	74	F	F2
413	141	74	M	F2
414	141	74	F	F2
415	141	74	M	F2
416	141	74	F	F2
417	141	74	M	F2
418	141	74	F	F2
419	141	74	M	F2
420	141	74	F	F2
421	201	84	M	F2
422	201	84	F	F2
423	201	84	M	F2
424	201	84	F	F2
425	201	84	M	F2
426	201	84	F	F2
427	201	84	M	F2
428	201	84	F	F2
429	201	84	M	F2
430	201	84	F	F2
431	21	68	M	F2
432	21	68	F	F2
433	21	68	M	F2
434	21	68	F	F2
435	21	68	M	F2
436	21	68	F	F2
437	21	68	M	F2
438	21	68	F	F2
439	21	68	M	F2
440	21	68	F	F2
441	113	46	M	F2
442	113	46	F	F2
443	113	46	M	F2
444	113	46	F	F2
445	113	46	M	F2
446	113	46	F	F2
447	113	46	M	F2
448	113	46	F	F2
449	113	46	M	F2
450	113	46	F	F2
451	185	174	M	F2
452	185	174	F	F2
453	185	174	M	F2
454	185	174	F	F2
455	185	174	M	F2
456	185	174	F	F2
457	185	174	M	F2
458	185	174	F	F2
459	185	174	M	F2
460	185	174	F	F2
461	23	208	M	F2
462	23	208	F	F2
463	23	208	M	F2
464	23	208	F	F2
465	23	208	M	F2
466	23	208	F	F2
467	23	208	M	F2
468	23	208	F	F2
469	23	208	M	F2
470	23	208	F	F2
471	93	168	M	F2
472	93	168	F	F2
473	93	168	M	F2
474	93	168	F	F2
475	93	168	M	F2
476	93	168	F	F2
477	93	168	M	F2
478	93	168	F	F2
479	93	168	M	F2
480	93	168	F	F2
481	143	116	M	F2
482	143	116	F	F2
483	143	116	M	F2
484	143	116	F	F2
485	143	116	M	F2
486	143	116	F	F2
487	143	116	M	F2
488	143	116	F	F2
489	143	116	M	F2
490	143	116	F	F2
491	79	140	M	F2
492	79	140	F	F2
493	79	140	M	F2
494	79	140	F	F2
495	79	140	M	F2
496	79	140	F	F2
497	79	140	M	F2
498	79	140	F	F2
499	79	140	M	F2
500	79	140	F	F2
501	41	148	M	F2
502	41	148	F	F2
503	41	148	M	F2
504	41	148	F	F2
505	41	148	M	F2
506	41	148	F	F2
507	41	148	M	F2
508	41	148	F	F2
509	41	148	M	F2
510	41	148	F	F2
511	125	146	M	F2
512	125	146	F	F2
513	125	146	M	F2
514	125	146	F	F2
515	125	146	M	F2
516	125	146	F	F2
517	125	146	M	F2
518	125	146	F	F2
519	125	146	M	F2
520	125	146	F	F2
521	159	196	M	F2
522	159	196	F	F2
523	159	196	M	F2
524	159	196	F	F2
525	159	196	M	F2
526	159	196	F	F2
527	159	196	M	F2
528	159	196	F	F2
529	159	196	M	F2
530	159	196	F	F2
531	137	82	M	F2
532	137	82	F	F2
533	137	82	M	F2
534	137	82	F	F2
535	137	82	M	F2
536	137	82	F	F2
537	137	82	M	F2
538	137	82	F	F2
539	137	82	M	F2
540	137	82	F	F2
541	53	24	M	F2
542	53	24	F	F2
543	53	24	M	F2
544	53	24	F	F2
545	53	24	M	F2
546	53	24	F	F2
547	53	24	M	F2
548	53	24	F	F2
549	53	24	M	F2
550	53	24	F	F2
551	189	156	M	F2
552	189	156	F	F2
553	189	156	M	F2
554	189	156	F	F2
555	189	156	M	F2
556	189	156	F	F2
557	189	156	M	F2
558	189	156	F	F2
559	189	156	M	F2
560	189	156	F	F2
561	165	130	M	F2
562	165	130	F	F2
563	165	130	M	F2
564	165	130	F	F2
565	165	130	M	F2
566	165	130	F	F2
567	165	130	M	F2
568	165	130	F	F2
569	165	130	M	F2
570	165	130	F	F2
571	101	154	M	F2
572	101	154	F	F2
573	101	154	M	F2
574	101	154	F	F2
575	101	154	M	F2
576	101	154	F	F2
577	101	154	M	F2
578	101	154	F	F2
579	101	154	M	F2
580	101	154	F	F2
581	115	152	M	F2
582	115	152	F	F2
583	115	152	M	F2
584	115	152	F	F2
585	115	152	M	F2
586	115	152	F	F2
587	115	152	M	F2
588	115	152	F	F2
589	115	152	M	F2
590	115	152	F	F2
591	61	162	M	F2
592	61	162	F	F2
593	61	162	M	F2
594	61	162	F	F2
595	61	162	M	F2
596	61	162	F	F2
597	61	162	M	F2
598	61	162	F	F2
599	61	162	M	F2
600	61	162	F	F2
601	27	36	M	F2
602	27	36	F	F2
603	27	36	M	F2
604	27	36	F	F2
605	27	36	M	F2
606	27	36	F	F2
607	27	36	M	F2
608	27	36	F	F2
609	27	36	M	F2
610	27	36	F	F2
611	35	100	M	F2
612	35	100	F	F2
613	35	100	M	F2
614	35	100	F	F2
615	35	100	M	F2
616	35	100	F	F2
617	35	100	M	F2
618	35	100	F	F2
619	35	100	M	F2
620	35	100	F	F2
621	155	142	M	F2
622	155	142	F	F2
623	155	142	M	F2
624	155	142	F	F2
625	155	142	M	F2
626	155	142	F	F2
627	155	142	M	F2
628	155	142	F	F2
629	155	142	M	F2
630	155	142	F	F2
631	205	26	M	F2
632	205	26	F	F2
633	205	26	M	F2
634	205	26	F	F2
635	205	26	M	F2
636	205	26	F	F2
637	205	26	M	F2
638	205	26	F	F2
639	205	26	M	F2
640	205	26	F	F2
641	193	38	M	F2
642	193	38	F	F2
643	193	38	M	F2
644	193	38	F	F2
645	193	38	M	F2
646	193	38	F	F2
647	193	38	M	F2
648	193	38	F	F2
649	193	38	M	F2
650	193	38	F	F2
651	119	94	M	F2
652	119	94	F	F2
653	119	94	M	F2
654	119	94	F	F2
655	119	94	M	F2
656	119	94	F	F2
657	119	94	M	F2
658	119	94	F	F2
659	119	94	M	F2
660	119	94	F	F2
661	195	104	M	F2
662	195	104	F	F2
663	195	104	M	F2
664	195	104	F	F2
665	195	104	M	F2
666	195	104	F	F2
667	195	104	M	F2
668	195	104	F	F2
669	195	104	M	F2
670	195	104	F	F2
671	37	178	M	F2
672	37	178	F	F2
673	37	178	M	F2
674	37	178	F	F2
675	37	178	M	F2
676	37	178	F	F2
677	37	178	M	F2
678	37	178	F	F2
679	37	178	M	F2
680	37	178	F	F2
681	219	180	M	F2
682	219	180	F	F2
683	219	180	M	F2
684	219	180	F	F2
685	219	180	M	F2
686	219	180	F	F2
687	219	180	M	F2
688	219	180	F	F2
689	219	180	M	F2
690	219	180	F	F2
691	215	96	M	F2
692	215	96	F	F2
693	215	96	M	F2
694	215	96	F	F2
695	215	96	M	F2
696	215	96	F	F2
697	215	96	M	F2
698	215	96	F	F2
699	215	96	M	F2
700	215	96	F	F2
701	199	52	M	F2
702	199	52	F	F2
703	199	52	M	F2
704	199	52	F	F2
705	199	52	M	F2
706	199	52	F	F2
707	199	52	M	F2
708	199	52	F	F2
709	199	52	M	F2
710	199	52	F	F2
711	77	86	M	F2
712	77	86	F	F2
713	77	86	M	F2
714	77	86	F	F2
715	77	86	M	F2
716	77	86	F	F2
717	77	86	M	F2
718	77	86	F	F2
719	77	86	M	F2
720	77	86	F	F2
